"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","18pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","150pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"H1,H2,H3,H4","4","MountingHole","","Exclure de la Liste du Matériel","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","Conn_01x08_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J2","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R1,R2","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","MCP2515-xSO","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"U2","1","TJA1055T","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"Y1","1","Crystal","","","","Crystal:Crystal_HC49-4H_Vertical","~"
